,Date,Date,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
0,"Jul 23, 2017",2017-07-23,0.0,2736.1,64.9,190.7,224.6,16.1,0.3,45.5,42.6,0.2,8.2,34.5,1.1,7.3,0.2,6.4,3.6
1,"Jul 24, 2017",2017-07-24,0.0,2765.1,64.8,196.8,226.7,16.1,0.3,45.0,44.3,0.2,8.6,34.4,1.3,7.1,0.2,6.2,3.7
2,"Jul 25, 2017",2017-07-25,420.2,2687.2,63.6,196.9,219.1,15.5,0.3,43.6,43.0,0.2,8.1,31.3,1.4,6.7,0.2,5.6,3.4
3,"Jul 26, 2017",2017-07-26,404.5,2620.3,64.4,198.0,211.8,15.2,0.3,43.0,44.0,0.2,7.7,29.3,1.3,6.5,0.2,5.2,3.1
4,"Jul 27, 2017",2017-07-27,386.1,2592.6,63.8,194.7,205.0,14.8,0.3,42.2,43.9,0.2,7.4,27.3,1.3,6.2,0.2,5.0,2.8
5,"Jul 28, 2017",2017-07-28,385.8,2670.1,65.7,191.4,200.5,14.5,0.3,41.7,45.0,0.2,7.3,26.7,1.3,6.1,0.2,4.9,2.8
6,"Jul 29, 2017",2017-07-29,392.1,2735.7,66.4,188.3,201.1,14.4,0.3,41.3,44.4,0.2,7.4,26.3,1.3,5.9,0.2,4.9,2.9
7,"Jul 30, 2017",2017-07-30,378.8,2764.2,65.3,181.2,199.0,14.1,0.3,40.7,42.5,0.2,7.2,25.9,1.2,5.7,0.2,4.9,2.9
8,"Jul 31, 2017",2017-07-31,341.6,2786.3,64.2,178.9,202.5,14.1,0.3,41.5,41.1,0.2,7.2,25.9,1.2,5.8,0.2,5.0,2.8
9,"Aug 01, 2017",2017-08-01,340.0,2783.6,60.0,178.7,209.5,14.1,0.3,42.2,41.2,0.2,7.4,26.0,1.3,6.0,0.2,5.3,2.8
10,"Aug 02, 2017",2017-08-02,375.7,2768.1,61.2,182.1,216.9,14.4,0.3,42.7,42.5,0.2,7.8,25.9,1.3,6.3,0.2,5.5,3.1
11,"Aug 03, 2017",2017-08-03,398.9,2744.6,62.2,184.9,224.0,14.9,0.3,42.7,43.7,0.2,8.9,26.5,1.6,6.9,0.2,5.8,3.5
12,"Aug 04, 2017",2017-08-04,349.9,2803.8,68.4,185.6,222.8,15.1,0.3,42.8,44.0,0.2,9.7,26.7,2.0,7.4,0.2,6.1,3.7
13,"Aug 05, 2017",2017-08-05,270.1,2984.5,73.1,189.3,235.0,15.4,0.4,44.4,45.7,0.2,11.7,27.7,2.8,8.4,0.2,6.6,3.9
14,"Aug 06, 2017",2017-08-06,222.3,3120.9,76.4,190.0,247.1,15.4,0.4,45.1,47.2,0.2,13.2,28.1,3.0,9.2,0.2,6.8,4.4
15,"Aug 07, 2017",2017-08-07,251.2,3281.9,80.5,193.4,262.4,15.5,0.4,45.9,48.9,0.3,16.0,28.5,3.2,10.7,0.2,7.2,5.1
16,"Aug 08, 2017",2017-08-08,295.3,3337.6,83.0,196.7,275.8,15.5,0.5,46.5,50.0,0.3,17.4,28.1,3.2,11.4,0.2,7.4,5.4
17,"Aug 09, 2017",2017-08-09,323.0,3380.5,85.2,200.1,287.3,15.5,0.5,47.5,51.0,0.3,19.6,28.4,3.4,12.2,0.2,7.7,5.4
18,"Aug 10, 2017",2017-08-10,308.4,3381.2,88.0,201.3,296.2,15.5,0.6,47.7,50.8,0.3,25.4,27.9,4.3,13.3,0.2,7.8,5.4
19,"Aug 11, 2017",2017-08-11,302.7,3458.1,92.1,202.0,300.3,15.2,0.6,47.2,50.4,0.3,30.5,29.8,5.5,14.4,0.2,7.7,5.5
20,"Aug 12, 2017",2017-08-12,307.1,3638.9,98.4,204.1,305.1,15.1,0.6,46.7,49.8,0.3,35.4,34.5,6.4,14.8,0.2,7.4,5.4
21,"Aug 13, 2017",2017-08-13,314.5,3869.5,102.3,203.1,305.8,14.8,0.7,46.4,49.3,0.3,38.9,37.9,6.8,14.6,0.2,7.0,5.1
22,"Aug 14, 2017",2017-08-14,304.3,4094.4,106.9,201.0,302.9,14.4,0.8,46.0,49.0,0.3,43.6,38.3,6.7,14.7,0.2,6.5,4.9
23,"Aug 15, 2017",2017-08-15,297.9,4193.4,109.4,200.4,296.0,14.0,0.9,45.0,48.7,0.3,47.2,34.2,6.9,15.0,0.2,6.2,4.8
24,"Aug 16, 2017",2017-08-16,298.6,4294.6,114.8,211.7,297.4,14.0,1.0,44.4,49.1,0.3,46.8,33.2,7.5,14.7,0.2,6.1,4.8
25,"Aug 17, 2017",2017-08-17,352.9,4296.8,116.5,223.1,297.8,13.9,1.0,43.8,48.3,0.3,44.6,32.9,8.0,14.0,0.2,6.1,4.7
26,"Aug 18, 2017",2017-08-18,483.7,4289.6,119.4,230.0,299.8,14.0,1.0,45.1,47.6,0.2,41.7,34.2,8.2,13.0,0.2,5.9,4.6
27,"Aug 19, 2017",2017-08-19,635.1,4228.7,119.7,248.9,298.2,13.8,1.0,45.6,50.0,0.2,39.8,34.6,7.8,12.1,0.2,5.8,4.4
28,"Aug 20, 2017",2017-08-20,719.2,4147.3,119.3,269.1,298.2,13.8,0.9,46.3,52.5,0.3,39.0,37.5,7.9,11.7,0.2,5.7,4.5
29,"Aug 21, 2017",2017-08-21,689.0,4094.4,117.6,287.5,306.8,14.0,0.9,46.5,62.8,0.3,37.8,37.3,8.0,11.6,0.2,5.6,4.6
30,"Aug 22, 2017",2017-08-22,667.8,4063.3,117.7,288.4,312.6,14.3,0.9,47.0,74.6,0.3,36.4,37.6,7.9,11.4,0.2,5.6,4.6
31,"Aug 23, 2017",2017-08-23,653.3,4084.6,121.4,287.9,318.0,14.7,0.9,49.3,86.4,0.3,37.1,35.6,7.8,11.4,0.2,5.7,4.5
32,"Aug 24, 2017",2017-08-24,662.8,4195.6,125.2,299.8,319.3,14.9,0.9,50.1,89.3,0.3,39.3,35.8,8.1,12.2,0.2,5.9,4.7
33,"Aug 25, 2017",2017-08-25,646.2,4285.9,118.6,307.9,325.0,15.2,0.9,51.5,95.0,0.3,40.8,35.7,8.3,13.0,0.2,6.0,5.0
34,"Aug 26, 2017",2017-08-26,631.5,4352.9,114.7,343.7,330.5,15.2,0.9,51.0,110.9,0.3,40.3,35.2,8.3,14.2,0.2,6.1,5.2
35,"Aug 27, 2017",2017-08-27,629.1,4369.0,110.7,359.5,337.9,15.5,0.9,54.7,125.7,0.3,39.7,35.2,8.3,14.8,0.2,6.4,5.3
36,"Aug 28, 2017",2017-08-28,614.1,4372.6,116.6,373.2,343.2,15.7,0.9,58.4,138.0,0.3,39.0,35.5,8.4,15.8,0.2,6.8,5.3
37,"Aug 29, 2017",2017-08-29,590.0,4448.2,120.7,359.7,355.4,15.9,0.9,62.2,136.4,0.3,37.4,35.5,8.8,17.0,0.2,7.1,5.3
38,"Aug 30, 2017",2017-08-30,574.8,4509.0,127.7,361.6,365.6,15.7,0.9,63.2,136.9,0.3,35.1,35.6,9.7,17.4,0.2,7.2,5.4
39,"Aug 31, 2017",2017-08-31,572.1,4615.9,133.3,368.7,377.4,15.9,0.8,66.1,135.3,0.3,33.3,35.5,10.8,17.8,0.2,7.2,5.6
40,"Sep 01, 2017",2017-09-01,595.2,4720.2,137.6,380.0,383.1,18.0,0.8,73.8,138.0,0.3,32.8,34.6,11.6,17.5,0.2,7.3,5.7
41,"Sep 02, 2017",2017-09-02,595.4,4724.7,136.0,373.9,373.3,19.5,0.8,78.7,135.5,0.3,32.3,31.8,11.5,17.3,0.2,7.0,5.6
42,"Sep 03, 2017",2017-09-03,601.8,4684.6,134.4,366.6,361.4,20.2,0.7,80.6,130.7,0.3,31.4,28.9,11.1,16.6,0.2,6.7,5.4
43,"Sep 04, 2017",2017-09-04,566.9,4466.0,125.5,340.9,330.5,18.2,0.7,73.7,119.0,0.3,28.0,25.0,10.0,14.2,0.2,6.2,5.0
44,"Sep 05, 2017",2017-09-05,555.5,4398.6,124.8,333.2,318.5,17.0,0.6,71.1,117.0,0.3,25.0,23.1,10.1,12.7,0.2,6.1,4.9
45,"Sep 06, 2017",2017-09-06,565.7,4403.3,126.6,330.2,314.2,17.1,0.6,72.2,115.5,0.3,22.0,21.5,10.5,11.4,0.2,6.0,4.9
46,"Sep 07, 2017",2017-09-07,610.9,4524.5,134.4,339.4,325.6,17.8,0.7,76.6,120.4,0.3,25.0,21.8,11.8,12.6,0.2,6.1,5.0
47,"Sep 08, 2017",2017-09-08,624.7,4475.3,134.0,341.4,320.1,17.3,0.6,75.5,120.2,0.3,25.7,21.0,12.0,13.2,0.2,6.0,4.9
48,"Sep 09, 2017",2017-09-09,594.5,4351.6,132.0,333.4,306.8,16.0,0.6,70.8,118.4,0.3,25.9,21.2,12.2,13.9,0.2,5.9,4.6
49,"Sep 10, 2017",2017-09-10,555.9,4192.6,127.1,325.5,293.2,14.6,0.5,65.1,115.5,0.3,23.2,21.1,11.7,13.2,0.2,5.8,4.5
50,"Sep 11, 2017",2017-09-11,540.8,4170.1,126.2,320.5,292.6,14.4,0.5,64.6,113.8,0.3,22.2,21.1,11.6,13.5,0.2,5.7,4.4
51,"Sep 12, 2017",2017-09-12,528.4,4138.3,124.0,321.5,291.6,14.2,0.5,64.0,112.3,0.3,21.9,19.8,11.4,13.5,0.2,5.7,4.4
52,"Sep 13, 2017",2017-09-13,517.3,4058.2,121.7,315.2,287.7,14.4,0.6,64.0,112.0,0.2,21.0,18.4,11.2,13.2,0.2,5.4,4.2
53,"Sep 14, 2017",2017-09-14,460.4,3722.8,112.1,287.8,260.8,12.6,0.5,55.8,102.1,0.2,18.9,16.5,10.1,11.0,0.2,4.8,3.8
54,"Sep 15, 2017",2017-09-15,431.6,3558.4,108.0,274.0,247.2,11.2,0.5,50.5,98.1,0.2,18.2,15.9,9.5,9.3,0.2,4.5,3.6
55,"Sep 16, 2017",2017-09-16,410.4,3472.5,105.9,273.2,237.0,9.8,0.5,46.0,92.7,0.2,18.4,15.3,9.3,8.1,0.2,4.3,3.5
56,"Sep 17, 2017",2017-09-17,428.0,3615.1,109.3,299.0,249.6,10.1,0.5,48.3,96.3,0.2,19.8,16.4,9.9,8.3,0.2,4.5,3.7
57,"Sep 18, 2017",2017-09-18,446.5,3757.7,112.9,315.2,263.9,10.6,0.5,50.8,96.5,0.2,20.6,16.4,10.3,8.7,0.2,4.7,3.9
58,"Sep 19, 2017",2017-09-19,475.7,3857.7,115.5,323.7,276.0,11.1,0.6,52.3,97.3,0.2,20.3,16.4,10.3,8.9,0.2,4.9,4.0
59,"Sep 20, 2017",2017-09-20,494.4,3965.4,119.0,333.2,286.7,11.5,0.6,53.4,98.0,0.2,20.3,15.9,10.0,9.1,0.2,5.0,4.2
60,"Sep 21, 2017",2017-09-21,473.4,3820.7,114.5,332.2,275.0,10.9,0.5,50.4,93.2,0.2,19.0,14.7,9.0,8.4,0.2,4.5,4.0
61,"Sep 22, 2017",2017-09-22,435.8,3722.6,111.9,339.7,268.9,10.5,0.5,48.8,90.0,0.2,18.6,13.9,8.6,7.9,0.2,4.2,3.8
62,"Sep 23, 2017",2017-09-23,420.0,3684.7,110.5,342.5,269.7,10.3,0.5,48.0,88.8,0.2,18.8,13.4,8.6,7.7,0.2,4.1,3.8
63,"Sep 24, 2017",2017-09-24,421.5,3702.0,111.0,343.1,277.7,10.4,0.5,48.3,89.8,0.2,19.6,14.1,8.8,7.9,0.2,4.0,3.9
64,"Sep 25, 2017",2017-09-25,431.8,3800.4,113.6,342.6,287.0,10.6,0.5,49.5,91.7,0.2,22.0,14.9,9.2,8.5,0.2,4.2,4.1
65,"Sep 26, 2017",2017-09-26,436.2,3833.8,115.1,338.7,287.4,10.8,0.5,50.2,92.1,0.2,24.1,15.3,9.5,8.9,0.2,4.2,4.3
66,"Sep 27, 2017",2017-09-27,448.3,4006.4,120.5,343.5,295.4,11.6,0.5,53.1,95.9,0.2,28.1,15.8,10.0,9.5,0.2,4.5,4.7
67,"Sep 28, 2017",2017-09-28,449.0,4089.3,125.1,341.3,297.7,12.2,0.6,54.0,97.1,0.2,29.3,15.8,10.2,9.7,0.2,4.7,4.9
68,"Sep 29, 2017",2017-09-29,447.3,4179.5,129.2,337.5,299.0,12.6,0.6,54.3,97.6,0.2,30.1,15.7,10.2,9.9,0.2,4.7,5.0
69,"Sep 30, 2017",2017-09-30,439.1,4225.5,132.5,331.0,297.4,12.7,0.6,53.9,95.8,0.2,30.9,14.9,10.1,10.4,0.2,4.6,4.9
70,"Oct 01, 2017",2017-10-01,428.2,4301.8,135.2,323.5,298.4,12.7,0.6,54.1,94.5,0.2,32.9,15.2,9.9,11.2,0.2,4.3,5.0
71,"Oct 02, 2017",2017-10-02,423.0,4383.9,138.2,317.2,300.4,12.7,0.6,54.4,93.5,0.2,35.6,15.2,9.7,11.9,0.2,4.2,5.0
72,"Oct 03, 2017",2017-10-03,413.5,4376.8,138.3,306.9,297.4,12.5,0.6,53.4,92.6,0.2,35.4,15.0,9.4,12.1,0.2,4.0,4.8
73,"Oct 04, 2017",2017-10-04,394.6,4318.7,136.9,303.5,294.2,12.3,0.6,52.4,91.6,0.2,33.8,14.2,9.0,11.9,0.2,3.8,4.8
74,"Oct 05, 2017",2017-10-05,372.8,4291.8,136.9,302.4,293.7,12.1,0.5,51.8,91.7,0.2,32.3,14.0,8.9,11.9,0.2,3.7,4.9
75,"Oct 06, 2017",2017-10-06,359.1,4309.5,138.6,305.9,299.0,12.1,0.5,51.7,91.2,0.2,32.3,14.3,8.7,11.7,0.2,3.6,4.9
76,"Oct 07, 2017",2017-10-07,359.8,4375.4,141.7,307.6,305.2,12.2,0.5,52.1,91.6,0.2,34.0,14.6,8.7,11.8,0.2,3.7,5.0
77,"Oct 08, 2017",2017-10-08,355.3,4469.4,144.8,306.6,309.4,12.2,0.5,52.6,90.9,0.2,33.9,13.9,8.3,11.6,0.3,3.7,4.8
78,"Oct 09, 2017",2017-10-09,339.1,4603.1,150.4,298.9,305.7,12.0,0.5,52.0,89.0,0.2,32.4,12.8,7.9,11.7,0.3,3.6,4.5
79,"Oct 10, 2017",2017-10-10,326.0,4721.5,156.1,292.5,302.0,11.7,0.5,51.3,87.4,0.2,30.2,11.7,7.8,11.8,0.3,3.4,4.2
80,"Oct 11, 2017",2017-10-11,316.9,4793.5,162.2,291.1,300.2,11.5,0.5,50.6,86.6,0.2,29.5,11.8,8.3,12.1,0.3,3.4,4.1
81,"Oct 12, 2017",2017-10-12,316.6,5018.5,172.0,293.9,302.5,11.7,0.5,53.9,87.1,0.2,29.1,12.0,8.5,11.8,0.3,3.3,4.0
82,"Oct 13, 2017",2017-10-13,316.5,5306.9,183.8,300.2,315.5,11.9,0.4,56.8,89.9,0.2,29.2,12.1,8.6,11.6,0.3,3.3,3.9
83,"Oct 14, 2017",2017-10-14,318.9,5642.0,194.8,306.3,327.5,12.1,0.4,61.2,94.1,0.2,28.4,11.8,8.2,11.1,0.3,3.0,3.9
84,"Oct 15, 2017",2017-10-15,319.5,5719.1,196.5,312.2,338.3,12.1,0.4,62.9,96.7,0.2,28.3,11.4,8.1,10.8,0.3,3.0,3.9
85,"Oct 16, 2017",2017-10-16,316.9,5745.2,197.5,309.5,336.5,12.0,0.4,64.7,97.0,0.2,28.0,11.5,7.9,10.9,0.3,2.9,3.9
86,"Oct 17, 2017",2017-10-17,333.4,5669.8,195.5,303.9,329.0,11.9,0.5,63.2,94.0,0.2,29.2,12.3,7.9,11.3,0.3,3.0,3.9
87,"Oct 18, 2017",2017-10-18,341.5,5640.6,196.3,299.8,321.6,11.8,0.5,61.6,92.2,0.2,29.9,13.5,7.9,11.7,0.2,3.1,4.0
88,"Oct 19, 2017",2017-10-19,347.2,5634.9,196.4,297.5,313.2,11.6,0.5,60.0,89.8,0.2,29.9,14.2,7.9,11.9,0.2,3.1,4.0
89,"Oct 20, 2017",2017-10-20,332.5,5770.2,202.9,294.0,308.8,11.4,0.4,60.3,89.6,0.2,28.7,14.4,7.7,11.6,0.2,3.1,3.9
90,"Oct 21, 2017",2017-10-21,327.2,5917.2,207.9,287.5,304.1,11.2,0.4,59.4,89.1,0.2,27.8,13.8,7.5,11.4,0.2,3.0,3.7
91,"Oct 22, 2017",2017-10-22,327.5,6017.2,209.6,280.9,299.9,11.0,0.4,58.4,88.4,0.2,27.9,13.0,7.4,10.9,0.2,3.0,3.6
92,"Oct 23, 2017",2017-10-23,323.5,5990.1,204.7,279.3,294.2,10.7,0.4,56.6,86.6,0.2,27.8,12.2,7.5,10.5,0.2,3.2,3.6
93,"Oct 24, 2017",2017-10-24,324.7,5821.8,199.1,284.4,293.6,10.6,0.4,55.9,86.7,0.2,28.8,12.3,7.8,10.4,0.2,3.5,3.7
94,"Oct 25, 2017",2017-10-25,324.9,5735.9,199.5,288.9,294.4,10.5,0.4,55.8,87.2,0.2,28.7,12.5,7.8,10.5,0.2,4.1,3.7
95,"Oct 26, 2017",2017-10-26,332.4,5727.4,205.5,289.5,297.6,10.6,0.4,56.1,88.4,0.2,29.0,12.6,7.8,10.7,0.2,4.4,3.7
96,"Oct 27, 2017",2017-10-27,346.0,5812.2,211.8,285.2,297.3,10.5,0.4,55.9,87.8,0.2,28.5,12.3,7.6,10.5,0.2,4.6,3.6
97,"Oct 28, 2017",2017-10-28,376.4,5812.9,213.7,280.8,296.7,10.5,0.4,55.3,87.2,0.2,28.1,12.2,7.4,10.4,0.2,4.4,3.5
98,"Oct 29, 2017",2017-10-29,414.3,5895.9,217.2,280.0,299.6,10.6,0.4,55.7,87.2,0.2,28.0,12.0,7.3,10.3,0.2,4.2,3.5
99,"Oct 30, 2017",2017-10-30,441.2,6012.5,222.4,281.9,303.0,10.8,0.4,56.1,87.9,0.2,28.0,12.2,7.2,10.3,0.2,4.1,3.5
100,"Oct 31, 2017",2017-10-31,446.4,6250.9,231.6,283.0,306.2,10.8,0.4,56.4,88.4,0.2,28.3,12.0,7.1,10.4,0.2,3.7,3.4
101,"Nov 01, 2017",2017-11-01,473.0,6455.4,239.5,278.9,301.8,10.6,0.4,55.1,87.4,0.2,28.0,11.7,6.7,10.3,0.2,3.4,3.2
102,"Nov 02, 2017",2017-11-02,519.4,6771.4,251.2,272.0,295.0,10.4,0.4,54.6,85.7,0.2,26.6,10.6,6.4,10.1,0.2,3.1,3.1
103,"Nov 03, 2017",2017-11-03,581.5,7017.9,261.8,271.8,294.9,11.1,0.4,54.7,85.8,0.2,26.1,10.9,6.3,10.0,0.2,3.0,3.3
104,"Nov 04, 2017",2017-11-04,611.0,7222.1,271.0,272.9,297.9,11.6,0.4,55.3,86.3,0.2,25.9,11.2,6.5,10.1,0.2,3.0,3.5
105,"Nov 05, 2017",2017-11-05,625.5,7331.7,275.4,275.5,300.8,12.6,0.4,55.3,87.2,0.2,26.6,11.6,6.5,10.2,0.2,3.1,3.6
106,"Nov 06, 2017",2017-11-06,617.9,7270.0,271.6,274.5,298.5,13.2,0.4,55.0,92.2,0.2,26.4,11.1,6.4,10.2,0.2,3.0,3.5
107,"Nov 07, 2017",2017-11-07,616.6,7191.5,269.1,280.7,296.6,13.8,0.4,57.1,96.3,0.2,26.3,10.8,6.4,10.6,0.2,3.0,3.6
